Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.52000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -6.34891E-10
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -10	  -9	 -2.79635E+01	 -2.55618E+01	  3.55846E+01	  3.23195E+00	  2.90876E+00	  2.81726E+00	  2.53530E+00	   -12.834601%
 -10	  -8	 -2.79635E+01	 -2.30357E+01	  3.42547E+01	  3.23195E+00	  2.58557E+00	  2.84015E+00	  2.27189E+00	   -12.126338%
 -10	  -7	 -2.79635E+01	 -2.04113E+01	  3.29845E+01	  3.23195E+00	  2.26237E+00	  2.86325E+00	  2.00406E+00	   -11.411288%
 -10	  -6	 -2.79635E+01	 -1.76943E+01	  3.17983E+01	  3.23195E+00	  1.93917E+00	  2.88530E+00	  1.73097E+00	   -10.728671%
 -10	  -5	 -2.79635E+01	 -1.48927E+01	  3.07235E+01	  3.23195E+00	  1.61598E+00	  2.90538E+00	  1.45250E+00	   -10.106746%
 -10	  -4	 -2.79635E+01	 -1.20163E+01	  2.97889E+01	  3.23195E+00	  1.29278E+00	  2.92279E+00	  1.16893E+00	    -9.567768%
 -10	  -3	 -2.79635E+01	 -9.07711E+00	  2.90234E+01	  3.23195E+00	  9.69587E-01	  2.93693E+00	  8.80907E-01	    -9.129636%
 -10	  -2	 -2.79635E+01	 -6.08901E+00	  2.84535E+01	  3.23195E+00	  6.46391E-01	  2.94736E+00	  5.89307E-01	    -8.806354%
 -10	  -1	 -2.79635E+01	 -3.06731E+00	  2.81010E+01	  3.23195E+00	  3.23196E-01	  2.95376E+00	  2.95214E-01	    -8.608058%
 -10	   0	 -2.79635E+01	 -2.84622E-02	  2.79804E+01	  3.23195E+00	 -0.00000E+00	  2.95591E+00	 -1.60700E-04	    -8.540904%
 -10	   1	 -2.79635E+01	  3.01055E+00	  2.80966E+01	  3.23195E+00	 -3.23196E-01	  2.95376E+00	 -2.95538E-01	    -8.606980%
 -10	   2	 -2.79635E+01	  6.03272E+00	  2.84448E+01	  3.23195E+00	 -6.46391E-01	  2.94737E+00	 -5.89639E-01	    -8.804257%
 -10	   3	 -2.79635E+01	  9.02159E+00	  2.90108E+01	  3.23195E+00	 -9.69587E-01	  2.93693E+00	 -8.81252E-01	    -9.126635%
 -10	   4	 -2.79635E+01	  1.19618E+01	  2.97729E+01	  3.23195E+00	 -1.29278E+00	  2.92278E+00	 -1.16929E+00	    -9.564039%
 -10	   5	 -2.79635E+01	  1.48395E+01	  3.07046E+01	  3.23195E+00	 -1.61598E+00	  2.90536E+00	 -1.45287E+00	   -10.102530%
 -10	   6	 -2.79635E+01	  1.76427E+01	  3.17771E+01	  3.23195E+00	 -1.93917E+00	  2.88526E+00	 -1.73136E+00	   -10.724283%
 -10	   7	 -2.79635E+01	  2.03613E+01	  3.29614E+01	  3.23195E+00	 -2.26237E+00	  2.86318E+00	 -2.00444E+00	   -11.407150%
 -10	   8	 -2.79635E+01	  2.29875E+01	  3.42304E+01	  3.23195E+00	 -2.58557E+00	  2.84003E+00	 -2.27225E+00	   -12.123054%
 -10	   9	 -2.79635E+01	  2.55154E+01	  3.55593E+01	  3.23195E+00	 -2.90876E+00	  2.81707E+00	 -2.53561E+00	   -12.833149%
 -10	  10	 -2.79635E+01	  2.79413E+01	  3.69266E+01	  3.23195E+00	 -3.23196E+00	  2.79639E+00	 -2.79664E+00	   -13.472982%
 -10	  11	 -2.79635E+01	  3.02629E+01	  3.83140E+01	  3.23195E+00	 -3.55515E+00	  2.78263E+00	 -3.06115E+00	   -13.898505%
 -10	  12	 -2.79635E+01	  3.24798E+01	  3.97063E+01	  3.23195E+00	 -3.87835E+00	  2.79313E+00	 -3.35199E+00	   -13.574032%
  -9	 -12	 -2.55386E+01	 -3.25202E+01	  3.85921E+01	  2.90875E+00	  3.87835E+00	  2.50419E+00	  3.33867E+00	   -13.912690%
  -9	 -11	 -2.55386E+01	 -3.03053E+01	  3.70910E+01	  2.90875E+00	  3.55515E+00	  2.51545E+00	  3.07419E+00	   -13.525673%
  -9	 -10	 -2.55386E+01	 -2.79857E+01	  3.55860E+01	  2.90875E+00	  3.23196E+00	  2.53555E+00	  2.81703E+00	   -12.834702%
  -9	  -9	 -2.55386E+01	 -2.55618E+01	  3.40927E+01	  2.90875E+00	  2.90876E+00	  2.55878E+00	  2.55855E+00	   -12.035925%
  -9	  -8	 -2.55386E+01	 -2.30357E+01	  3.26306E+01	  2.90875E+00	  2.58557E+00	  2.58286E+00	  2.29566E+00	   -11.207789%
  -9	  -7	 -2.55386E+01	 -2.04113E+01	  3.12235E+01	  2.90875E+00	  2.26237E+00	  2.60648E+00	  2.02707E+00	   -10.395088%
  -9	  -6	 -2.55386E+01	 -1.76943E+01	  2.98991E+01	  2.90875E+00	  1.93917E+00	  2.62873E+00	  1.75230E+00	    -9.629902%
  -9	  -5	 -2.55386E+01	 -1.48927E+01	  2.86893E+01	  2.90875E+00	  1.61598E+00	  2.64884E+00	  1.47141E+00	    -8.938071%
