Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.47000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  5.39847E-05
 -12  -12 Ray Error
 -12   12 Ray Error
  12  -12 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -11	  10	 -3.02841E+01	  2.79413E+01	  3.83173E+01	  3.55629E+00	 -3.23300E+00	  3.05582E+00	 -2.77829E+00	   -14.069140%
 -11	  11	 -3.02841E+01	  3.02629E+01	  3.95932E+01	  3.55629E+00	 -3.55630E+00	  3.05523E+00	 -3.05549E+00	   -14.085977%
 -11	  12	 -3.02841E+01	  3.24798E+01	  4.08809E+01	  3.55629E+00	 -3.87960E+00	  3.17155E+00	 -3.46009E+00	   -10.815665%
 -10	 -12	 -2.79635E+01	 -3.25202E+01	  3.97346E+01	  3.23299E+00	  3.87960E+00	  2.78023E+00	  3.33602E+00	   -14.008398%
 -10	 -11	 -2.79635E+01	 -3.03053E+01	  3.83422E+01	  3.23299E+00	  3.55630E+00	  2.77847E+00	  3.05605E+00	   -14.063110%
 -10	 -10	 -2.79635E+01	 -2.79857E+01	  3.69544E+01	  3.23299E+00	  3.23300E+00	  2.79489E+00	  2.79462E+00	   -13.555266%
 -10	  -9	 -2.79635E+01	 -2.55618E+01	  3.55865E+01	  3.23299E+00	  2.90970E+00	  2.81677E+00	  2.53484E+00	   -12.878264%
 -10	  -8	 -2.79635E+01	 -2.30357E+01	  3.42566E+01	  3.23299E+00	  2.58640E+00	  2.84033E+00	  2.27202E+00	   -12.149292%
 -10	  -7	 -2.79635E+01	 -2.04113E+01	  3.29862E+01	  3.23299E+00	  2.26310E+00	  2.86378E+00	  2.00443E+00	   -11.423348%
 -10	  -6	 -2.79635E+01	 -1.76943E+01	  3.17999E+01	  3.23299E+00	  1.93980E+00	  2.88603E+00	  1.73141E+00	   -10.734991%
 -10	  -5	 -2.79635E+01	 -1.48927E+01	  3.07250E+01	  3.23299E+00	  1.61650E+00	  2.90621E+00	  1.45291E+00	   -10.110115%
 -10	  -4	 -2.79635E+01	 -1.20163E+01	  2.97904E+01	  3.23299E+00	  1.29320E+00	  2.92367E+00	  1.16928E+00	    -9.569694%
 -10	  -3	 -2.79635E+01	 -9.07711E+00	  2.90248E+01	  3.23299E+00	  9.69900E-01	  2.93784E+00	  8.81176E-01	    -9.130911%
 -10	  -2	 -2.79635E+01	 -6.08901E+00	  2.84549E+01	  3.23299E+00	  6.46600E-01	  2.94828E+00	  5.89487E-01	    -8.807365%
 -10	  -1	 -2.79635E+01	 -3.06731E+00	  2.81024E+01	  3.23299E+00	  3.23300E-01	  2.95468E+00	  2.95303E-01	    -8.608967%
 -10	   0	 -2.79635E+01	 -2.84622E-02	  2.79817E+01	  3.23299E+00	 -0.00000E+00	  2.95684E+00	 -1.64215E-04	    -8.541764%
 -10	   1	 -2.79635E+01	  3.01055E+00	  2.80980E+01	  3.23299E+00	 -3.23300E-01	  2.95469E+00	 -2.95634E-01	    -8.607806%
 -10	   2	 -2.79635E+01	  6.03272E+00	  2.84462E+01	  3.23299E+00	 -6.46600E-01	  2.94829E+00	 -5.89828E-01	    -8.805097%
 -10	   3	 -2.79635E+01	  9.02159E+00	  2.90122E+01	  3.23299E+00	 -9.69900E-01	  2.93785E+00	 -8.81531E-01	    -9.127644%
 -10	   4	 -2.79635E+01	  1.19618E+01	  2.97744E+01	  3.23299E+00	 -1.29320E+00	  2.92368E+00	 -1.16966E+00	    -9.565591%
 -10	   5	 -2.79635E+01	  1.48395E+01	  3.07062E+01	  3.23299E+00	 -1.61650E+00	  2.90621E+00	 -1.45330E+00	   -10.105391%
 -10	   6	 -2.79635E+01	  1.76427E+01	  3.17787E+01	  3.23299E+00	 -1.93980E+00	  2.88601E+00	 -1.73181E+00	   -10.729923%
 -10	   7	 -2.79635E+01	  2.03613E+01	  3.29631E+01	  3.23299E+00	 -2.26310E+00	  2.86374E+00	 -2.00484E+00	   -11.418295%
 -10	   8	 -2.79635E+01	  2.29875E+01	  3.42322E+01	  3.23299E+00	 -2.58640E+00	  2.84024E+00	 -2.27243E+00	   -12.144755%
