Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.63000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -9.43229E-05
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -9	   8	 -2.55386E+01	  2.29875E+01	  3.26019E+01	  2.90996E+00	 -2.58665E+00	  2.58782E+00	 -2.30049E+00	   -11.067010%
  -9	   9	 -2.55386E+01	  2.55154E+01	  3.40631E+01	  2.90996E+00	 -2.90998E+00	  2.56435E+00	 -2.56457E+00	   -11.873378%
  -9	  10	 -2.55386E+01	  2.79413E+01	  3.55558E+01	  2.90996E+00	 -3.23331E+00	  2.54217E+00	 -2.82486E+00	   -12.635517%
  -9	  11	 -2.55386E+01	  3.02629E+01	  3.70607E+01	  2.90996E+00	 -3.55664E+00	  2.52414E+00	 -3.08530E+00	   -13.254834%
  -9	  12	 -2.55386E+01	  3.24798E+01	  3.85618E+01	  2.90996E+00	 -3.87997E+00	  2.51824E+00	 -3.35788E+00	   -13.458011%
  -8	 -12	 -2.30116E+01	 -3.25202E+01	  3.74951E+01	  2.58663E+00	  3.87997E+00	  2.24115E+00	  3.36150E+00	   -13.360835%
  -8	 -11	 -2.30116E+01	 -3.03053E+01	  3.58827E+01	  2.58663E+00	  3.55664E+00	  2.25638E+00	  3.10230E+00	   -12.772011%
  -8	 -10	 -2.30116E+01	 -2.79857E+01	  3.42559E+01	  2.58663E+00	  3.23331E+00	  2.27731E+00	  2.84643E+00	   -11.962724%
  -8	  -9	 -2.30116E+01	 -2.55618E+01	  3.26305E+01	  2.58663E+00	  2.90998E+00	  2.30038E+00	  2.58772E+00	   -11.070840%
  -8	  -8	 -2.30116E+01	 -2.30357E+01	  3.10270E+01	  2.58663E+00	  2.58665E+00	  2.32389E+00	  2.32371E+00	   -10.161340%
  -8	  -7	 -2.30116E+01	 -2.04113E+01	  2.94705E+01	  2.58663E+00	  2.26332E+00	  2.34679E+00	  2.05328E+00	    -9.275667%
  -8	  -6	 -2.30116E+01	 -1.76943E+01	  2.79923E+01	  2.58663E+00	  1.93999E+00	  2.36826E+00	  1.77604E+00	    -8.445475%
  -8	  -5	 -2.30116E+01	 -1.48927E+01	  2.66288E+01	  2.58663E+00	  1.61665E+00	  2.38760E+00	  1.49211E+00	    -7.697089%
  -8	  -4	 -2.30116E+01	 -1.20163E+01	  2.54221E+01	  2.58663E+00	  1.29332E+00	  2.40425E+00	  1.20200E+00	    -7.052896%
  -8	  -3	 -2.30116E+01	 -9.07711E+00	  2.44169E+01	  2.58663E+00	  9.69993E-01	  2.41772E+00	  9.06529E-01	    -6.531615%
  -8	  -2	 -2.30116E+01	 -6.08901E+00	  2.36578E+01	  2.58663E+00	  6.46662E-01	  2.42763E+00	  6.06798E-01	    -6.148163%
  -8	  -1	 -2.30116E+01	 -3.06731E+00	  2.31831E+01	  2.58663E+00	  3.23331E-01	  2.43369E+00	  3.04106E-01	    -5.913416%
  -8	   0	 -2.30116E+01	 -2.84622E-02	  2.30197E+01	  2.58663E+00	 -0.00000E+00	  2.43573E+00	 -1.03437E-04	    -5.834001%
  -8	   1	 -2.30116E+01	  3.01055E+00	  2.31772E+01	  2.58663E+00	 -3.23331E-01	  2.43369E+00	 -3.04317E-01	    -5.912159%
  -8	   2	 -2.30116E+01	  6.03272E+00	  2.36462E+01	  2.58663E+00	 -6.46662E-01	  2.42764E+00	 -6.07019E-01	    -6.145700%
  -8	   3	 -2.30116E+01	  9.02159E+00	  2.44003E+01	  2.58663E+00	 -9.69993E-01	  2.41774E+00	 -9.06768E-01	    -6.528056%
  -8	   4	 -2.30116E+01	  1.19618E+01	  2.54013E+01	  2.58663E+00	 -1.29332E+00	  2.40427E+00	 -1.20226E+00	    -7.048406%
  -8	   5	 -2.30116E+01	  1.48395E+01	  2.66047E+01	  2.58663E+00	 -1.61665E+00	  2.38761E+00	 -1.49240E+00	    -7.691899%
  -8	   6	 -2.30116E+01	  1.76427E+01	  2.79656E+01	  2.58663E+00	 -1.93999E+00	  2.36825E+00	 -1.77634E+00	    -8.439885%
  -8	   7	 -2.30116E+01	  2.03613E+01	  2.94421E+01	  2.58663E+00	 -2.26332E+00	  2.34677E+00	 -2.05359E+00	    -9.270060%
  -8	   8	 -2.30116E+01	  2.29875E+01	  3.09973E+01	  2.58663E+00	 -2.58665E+00	  2.32384E+00	 -2.32403E+00	   -10.156209%
  -8	   9	 -2.30116E+01	  2.55154E+01	  3.26003E+01	  2.58663E+00	 -2.90998E+00	  2.30028E+00	 -2.58802E+00	   -11.066853%
  -8	  10	 -2.30116E+01	  2.79413E+01	  3.42254E+01	  2.58663E+00	 -3.23331E+00	  2.27715E+00	 -2.84665E+00	   -11.960910%
  -8	  11	 -2.30116E+01	  3.02629E+01	  3.58523E+01	  2.58663E+00	 -3.55664E+00	  2.25611E+00	 -3.10238E+00	   -12.774278%
  -8	  12	 -2.30116E+01	  3.24798E+01	  3.74652E+01	  2.58663E+00	 -3.87997E+00	  2.24065E+00	 -3.36121E+00	   -13.371837%
  -7	 -12	 -2.03863E+01	 -3.25202E+01	  3.64629E+01	  2.26330E+00	  3.87997E+00	  1.96873E+00	  3.37474E+00	   -13.019820%
  -7	 -11	 -2.03863E+01	 -3.03053E+01	  3.47385E+01	  2.26330E+00	  3.55664E+00	  1.98696E+00	  3.12214E+00	   -12.214669%
  -7	 -10	 -2.03863E+01	 -2.79857E+01	  3.29876E+01	  2.26330E+00	  3.23331E+00	  2.00833E+00	  2.86884E+00	   -11.270107%
  -7	  -9	 -2.03863E+01	 -2.55618E+01	  3.12255E+01	  2.26330E+00	  2.90998E+00	  2.03087E+00	  2.61093E+00	   -10.273916%
  -7	  -8	 -2.03863E+01	 -2.30357E+01	  2.94726E+01	  2.26330E+00	  2.58665E+00	  2.05345E+00	  2.34663E+00	    -9.276142%
  -7	  -7	 -2.03863E+01	 -2.04113E+01	  2.77553E+01	  2.26330E+00	  2.26332E+00	  2.07523E+00	  2.07508E+00	    -8.313201%
  -7	  -6	 -2.03863E+01	 -1.76943E+01	  2.61071E+01	  2.26330E+00	  1.93999E+00	  2.09554E+00	  1.79605E+00	    -7.415224%
  -7	  -5	 -2.03863E+01	 -1.48927E+01	  2.45695E+01	  2.26330E+00	  1.61665E+00	  2.11379E+00	  1.50974E+00	    -6.608385%
  -7	  -4	 -2.03863E+01	 -1.20163E+01	  2.31921E+01	  2.26330E+00	  1.29332E+00	  2.12947E+00	  1.21673E+00	    -5.915439%
